Order ID,Date,Company Name,Category,Product Name,Warehouse Location,Forecast Demand (Units),Actual Demand (Units),Stock On Hand,Unit Price (₹)
ORD-10000,2022-01-01,Biba,Formal Wear,Business Dress,Delhi,395,361,334,4601
ORD-10001,2022-01-01,Westside,Western Wear,Denim Jeans,Ahmedabad,373,363,560,2494
ORD-10002,2022-01-01,Pantaloons,Ethnic Wear,Saree,Pune,98,100,50,1544
ORD-10003,2022-01-01,W for Woman,Sportswear,Sports Bra,Ahmedabad,254,236,105,2067
ORD-10004,2022-01-02,Fabindia,Casual Wear,Hoodie,Delhi,193,144,413,1469
ORD-10005,2022-01-02,Biba,Ethnic Wear,Saree,Ahmedabad,151,175,469,1676
ORD-10006,2022-01-02,W for Woman,Ethnic Wear,Kurta,Ahmedabad,177,196,160,4195
ORD-10007,2022-01-02,Reliance Trends,Formal Wear,Business Dress,Bengaluru,368,411,493,2922
ORD-10008,2022-01-02,Pantaloons,Western Wear,Denim Jeans,Kolkata,338,402,478,2320
ORD-10009,2022-01-02,Biba,Formal Wear,Trouser,Pune,508,571,356,3280
ORD-10010,2022-01-02,Manyavar,Western Wear,Jumpsuit,Kolkata,147,182,232,3422
ORD-10011,2022-01-03,Max Fashion,Ethnic Wear,Lehenga,Ahmedabad,378,391,477,3142
ORD-10012,2022-01-03,Biba,Ethnic Wear,Kurta,Mumbai,108,91,214,3147
ORD-10013,2022-01-03,W for Woman,Ethnic Wear,Lehenga,Mumbai,263,304,154,2637
ORD-10014,2022-01-03,Myntra,Sportswear,Yoga Pants,Pune,278,266,370,1870
ORD-10015,2022-01-03,Raymond,Formal Wear,Trouser,Hyderabad,212,177,126,2477
ORD-10016,2022-01-03,Manyavar,Ethnic Wear,Kurta,Chennai,146,121,311,846
ORD-10017,2022-01-03,Reliance Trends,Western Wear,Trench Coat,Mumbai,400,423,358,4435
ORD-10018,2022-01-04,W for Woman,Casual Wear,Joggers,Bengaluru,346,271,567,1512
ORD-10019,2022-01-04,W for Woman,Ethnic Wear,Lehenga,Hyderabad,249,227,350,2589
ORD-10020,2022-01-04,Fabindia,Sportswear,Track Suit,Kolkata,308,268,299,2475
ORD-10021,2022-01-04,Manyavar,Ethnic Wear,Kurta,Chennai,92,110,433,4967
ORD-10022,2022-01-04,Max Fashion,Western Wear,Trench Coat,Delhi,129,107,600,3767
ORD-10023,2022-01-05,Fabindia,Western Wear,Midi Dress,Hyderabad,355,413,495,4259
ORD-10024,2022-01-05,Fabindia,Casual Wear,T-Shirt,Delhi,107,89,307,866
ORD-10025,2022-01-05,Pantaloons,Formal Wear,Business Dress,Pune,266,289,597,2018
ORD-10026,2022-01-05,Fabindia,Sportswear,Track Suit,Kolkata,337,270,358,1409
ORD-10027,2022-01-06,Biba,Ethnic Wear,Kurta,Hyderabad,149,167,352,1980
ORD-10028,2022-01-06,Biba,Sportswear,Sports Bra,Delhi,101,76,453,1033
ORD-10029,2022-01-06,Biba,Formal Wear,Pencil Skirt,Bengaluru,202,235,248,1945
ORD-10030,2022-01-06,Max Fashion,Sportswear,Running Shorts,Delhi,228,247,306,1277
ORD-10031,2022-01-07,W for Woman,Casual Wear,Polo Shirt,Delhi,225,238,248,1322
ORD-10032,2022-01-07,Biba,Casual Wear,Joggers,Kolkata,241,296,222,904
ORD-10033,2022-01-07,Raymond,Formal Wear,Suit,Bengaluru,339,332,417,2391
ORD-10034,2022-01-07,Manyavar,Sportswear,Track Suit,Bengaluru,355,301,128,2264
ORD-10035,2022-01-07,Pantaloons,Sportswear,Sports Bra,Hyderabad,98,100,533,2425
ORD-10036,2022-01-07,Biba,Sportswear,Yoga Pants,Ahmedabad,336,337,456,2336
ORD-10037,2022-01-07,Max Fashion,Sportswear,Sports Tee,Bengaluru,308,255,199,2159
ORD-10038,2022-01-07,Fabindia,Formal Wear,Trouser,Chennai,314,340,580,5224
ORD-10039,2022-01-08,Raymond,Ethnic Wear,Saree,Delhi,346,369,330,2957
ORD-10040,2022-01-08,Reliance Trends,Formal Wear,Suit,Delhi,404,499,278,5488
ORD-10041,2022-01-08,Myntra,Formal Wear,Pencil Skirt,Bengaluru,350,275,337,2789
ORD-10042,2022-01-08,W for Woman,Sportswear,Track Suit,Pune,249,276,543,1925
ORD-10043,2022-01-09,W for Woman,Formal Wear,Formal Shirt,Mumbai,184,152,574,1958
ORD-10044,2022-01-09,Max Fashion,Casual Wear,Polo Shirt,Pune,386,476,69,843
ORD-10045,2022-01-09,Biba,Formal Wear,Business Dress,Hyderabad,371,425,236,4307
