Order ID,Date,Company Name,Category,Product Name,Warehouse Location,Forecast_Demand,Actual_Demand,Stock_On_Hand,Unit_Price,Month,Year,Quarter,Season,Demand_Gap,Forecast_Accuracy_%,Revenue,Holding_Cost,Stock_Status
ORD-10000,2022-01-01,Biba,Formal Wear,Business Dress,Delhi,395,361,334,4601,January,2022,1,Winter,-34,90.58171745152355,1660961,230510.1,Stockout Risk
ORD-10001,2022-01-01,Westside,Western Wear,Denim Jeans,Ahmedabad,373,363,560,2494,January,2022,1,Winter,-10,97.24517906336088,905322,209496.0,Overstock
ORD-10002,2022-01-01,Pantaloons,Ethnic Wear,Saree,Pune,98,100,50,1544,January,2022,1,Winter,2,98.0,154400,11580.0,Stockout Risk
ORD-10003,2022-01-01,W for Woman,Sportswear,Sports Bra,Ahmedabad,254,236,105,2067,January,2022,1,Winter,-18,92.37288135593221,487812,32555.25,Stockout Risk
ORD-10004,2022-01-02,Fabindia,Casual Wear,Hoodie,Delhi,193,144,413,1469,January,2022,1,Winter,-49,65.97222222222223,211536,91004.55,Overstock
ORD-10005,2022-01-02,Biba,Ethnic Wear,Saree,Ahmedabad,151,175,469,1676,January,2022,1,Winter,24,86.28571428571428,293300,117906.59999999999,Overstock
ORD-10006,2022-01-02,W for Woman,Ethnic Wear,Kurta,Ahmedabad,177,196,160,4195,January,2022,1,Winter,19,90.3061224489796,822220,100680.0,Stockout Risk
ORD-10007,2022-01-02,Reliance Trends,Formal Wear,Business Dress,Bengaluru,368,411,493,2922,January,2022,1,Winter,43,89.53771289537713,1200942,216081.9,Balanced
ORD-10008,2022-01-02,Pantaloons,Western Wear,Denim Jeans,Kolkata,338,402,478,2320,January,2022,1,Winter,64,84.07960199004975,932640,166344.0,Balanced
ORD-10009,2022-01-02,Biba,Formal Wear,Trouser,Pune,508,571,356,3280,January,2022,1,Winter,63,88.96672504378284,1872880,175152.0,Stockout Risk
ORD-10010,2022-01-02,Manyavar,Western Wear,Jumpsuit,Kolkata,147,182,232,3422,January,2022,1,Winter,35,80.76923076923077,622804,119085.59999999999,Overstock
ORD-10011,2022-01-03,Max Fashion,Ethnic Wear,Lehenga,Ahmedabad,378,391,477,3142,January,2022,1,Winter,13,96.67519181585678,1228522,224810.1,Balanced
ORD-10012,2022-01-03,Biba,Ethnic Wear,Kurta,Mumbai,108,91,214,3147,January,2022,1,Winter,-17,81.31868131868131,286377,101018.7,Overstock
ORD-10013,2022-01-03,W for Woman,Ethnic Wear,Lehenga,Mumbai,263,304,154,2637,January,2022,1,Winter,41,86.51315789473685,801648,60914.7,Stockout Risk
ORD-10014,2022-01-03,Myntra,Sportswear,Yoga Pants,Pune,278,266,370,1870,January,2022,1,Winter,-12,95.48872180451127,497420,103785.0,Balanced
ORD-10015,2022-01-03,Raymond,Formal Wear,Trouser,Hyderabad,212,177,126,2477,January,2022,1,Winter,-35,80.22598870056497,438429,46815.299999999996,Stockout Risk
ORD-10016,2022-01-03,Manyavar,Ethnic Wear,Kurta,Chennai,146,121,311,846,January,2022,1,Winter,-25,79.3388429752066,102366,39465.9,Overstock
ORD-10017,2022-01-03,Reliance Trends,Western Wear,Trench Coat,Mumbai,400,423,358,4435,January,2022,1,Winter,23,94.56264775413712,1876005,238159.5,Stockout Risk
ORD-10018,2022-01-04,W for Woman,Casual Wear,Joggers,Bengaluru,346,271,567,1512,January,2022,1,Winter,-75,72.32472324723247,409752,128595.59999999999,Overstock
ORD-10019,2022-01-04,W for Woman,Ethnic Wear,Lehenga,Hyderabad,249,227,350,2589,January,2022,1,Winter,-22,90.30837004405286,587703,135922.5,Balanced
ORD-10020,2022-01-04,Fabindia,Sportswear,Track Suit,Kolkata,308,268,299,2475,January,2022,1,Winter,-40,85.07462686567165,663300,111003.75,Stockout Risk
ORD-10021,2022-01-04,Manyavar,Ethnic Wear,Kurta,Chennai,92,110,433,4967,January,2022,1,Winter,18,83.63636363636364,546370,322606.64999999997,Overstock
ORD-10022,2022-01-04,Max Fashion,Western Wear,Trench Coat,Delhi,129,107,600,3767,January,2022,1,Winter,-22,79.4392523364486,403069,339030.0,Overstock
ORD-10023,2022-01-05,Fabindia,Western Wear,Midi Dress,Hyderabad,355,413,495,4259,January,2022,1,Winter,58,85.95641646489105,1758967,316230.75,Balanced
ORD-10024,2022-01-05,Fabindia,Casual Wear,T-Shirt,Delhi,107,89,307,866,January,2022,1,Winter,-18,79.7752808988764,77074,39879.299999999996,Overstock
ORD-10025,2022-01-05,Pantaloons,Formal Wear,Business Dress,Pune,266,289,597,2018,January,2022,1,Winter,23,92.04152249134948,583202,180711.9,Overstock
ORD-10026,2022-01-05,Fabindia,Sportswear,Track Suit,Kolkata,337,270,358,1409,January,2022,1,Winter,-67,75.18518518518519,380430,75663.3,Balanced
ORD-10027,2022-01-06,Biba,Ethnic Wear,Kurta,Hyderabad,149,167,352,1980,January,2022,1,Winter,18,89.22155688622755,330660,104544.0,Overstock
